[2019-07-27 16:21:46] Downloading update (250,009 of 350,762 KB)...
[2019-07-27 16:21:46] Downloading update (251,141 of 350,762 KB)...
[2019-07-27 16:21:47] Downloading update (252,280 of 350,762 KB)...
[2019-07-27 16:21:47] Downloading update (253,419 of 350,762 KB)...
[2019-07-27 16:21:47] Downloading update (254,451 of 350,762 KB)...
[2019-07-27 16:21:47] Downloading update (255,609 of 350,762 KB)...
[2019-07-27 16:21:48] Downloading update (256,779 of 350,762 KB)...
[2019-07-27 16:21:48] Downloading update (257,960 of 350,762 KB)...
[2019-07-27 16:21:48] Downloading update (259,141 of 350,762 KB)...
[2019-07-27 16:21:48] Downloading update (260,211 of 350,762 KB)...
[2019-07-27 16:21:49] Downloading update (261,419 of 350,762 KB)...
[2019-07-27 16:21:49] Downloading update (262,629 of 350,762 KB)...
[2019-07-27 16:21:49] Downloading update (263,838 of 350,762 KB)...
[2019-07-27 16:21:50] Downloading update (265,059 of 350,762 KB)...
[2019-07-27 16:21:50] Downloading update (266,165 of 350,762 KB)...
[2019-07-27 16:21:50] Downloading update (267,417 of 350,762 KB)...
[2019-07-27 16:21:50] Downloading update (268,669 of 350,762 KB)...
[2019-07-27 16:21:51] Downloading update (269,920 of 350,762 KB)...
[2019-07-27 16:21:51] Downloading update (271,172 of 350,762 KB)...
[2019-07-27 16:21:51] Downloading update (272,307 of 350,762 KB)...
[2019-07-27 16:21:51] Downloading update (273,596 of 350,762 KB)...
[2019-07-27 16:21:52] Downloading update (274,890 of 350,762 KB)...
[2019-07-27 16:21:52] Downloading update (276,184 of 350,762 KB)...
[2019-07-27 16:21:52] Downloading update (277,477 of 350,762 KB)...
[2019-07-27 16:21:52] Downloading update (278,652 of 350,762 KB)...
[2019-07-27 16:21:53] Downloading update (279,959 of 350,762 KB)...
[2019-07-27 16:21:53] Downloading update (281,284 of 350,762 KB)...
[2019-07-27 16:21:53] Downloading update (282,620 of 350,762 KB)...
[2019-07-27 16:21:53] Downloading update (283,956 of 350,762 KB)...
[2019-07-27 16:21:54] Downloading update (285,300 of 350,762 KB)...
[2019-07-27 16:21:54] Downloading update (286,515 of 350,762 KB)...
[2019-07-27 16:21:54] Downloading update (287,865 of 350,762 KB)...
[2019-07-27 16:21:54] Downloading update (289,120 of 350,762 KB)...
[2019-07-27 16:21:55] Downloading update (290,375 of 350,762 KB)...
[2019-07-27 16:21:55] Downloading update (291,647 of 350,762 KB)...
[2019-07-27 16:21:55] Downloading update (292,926 of 350,762 KB)...
[2019-07-27 16:21:55] Downloading update (294,078 of 350,762 KB)...
[2019-07-27 16:21:56] Downloading update (295,358 of 350,762 KB)...
[2019-07-27 16:21:56] Downloading update (296,637 of 350,762 KB)...
[2019-07-27 16:21:56] Downloading update (297,917 of 350,762 KB)...
[2019-07-27 16:21:56] Downloading update (299,210 of 350,762 KB)...
[2019-07-27 16:21:57] Downloading update (300,387 of 350,762 KB)...
[2019-07-27 16:21:57] Downloading update (301,704 of 350,762 KB)...
[2019-07-27 16:21:57] Downloading update (303,026 of 350,762 KB)...
[2019-07-27 16:21:57] Downloading update (304,348 of 350,762 KB)...
[2019-07-27 16:21:58] Downloading update (305,570 of 350,762 KB)...
[2019-07-27 16:21:58] Downloading update (306,633 of 350,762 KB)...
[2019-07-27 16:21:58] Downloading update (307,814 of 350,762 KB)...
[2019-07-27 16:21:58] Downloading update (308,996 of 350,762 KB)...
[2019-07-27 16:21:59] Downloading update (310,177 of 350,762 KB)...
[2019-07-27 16:21:59] Downloading update (311,362 of 350,762 KB)...
[2019-07-27 16:21:59] Downloading update (312,560 of 350,762 KB)...
[2019-07-27 16:21:59] Downloading update (313,610 of 350,762 KB)...
[2019-07-27 16:22:00] Downloading update (314,706 of 350,762 KB)...
[2019-07-27 16:22:00] Downloading update (315,803 of 350,762 KB)...
